CHROMOSOME,FITNESS
1 0 1 0 0 0,12.09
1 0 1 0 0 0,12.09
1 0 1 0 0 0,12.09
1 0 1 0 0 0,12.09
1 0 1 0 0 0,12.09
1 0 1 0 0 0,12.09
1 0 1 0 0 0,12.09
1 0 1 0 0 0,12.09
1 0 1 0 0 0,12.09
1 0 1 0 0 0,12.09
1 0 1 0 0 0,12.09
1 0 1 0 0 0,12.09
1 0 1 0 0 0,12.09
1 0 1 0 0 0,12.09
1 0 1 0 0 0,12.09
1 0 1 0 0 0,12.09
1 0 1 0 0 0,12.09
1 0 0 0 0 1,13.85
1 0 0 1 0 0,18.51
1 1 1 0 0 0,50.78
1 1 1 0 0 0,50.78
1 0 0 0 1 0,52.2
1 0 1 1 0 0,93.21
1 0 0 1 0 1,94.97
1 1 1 0 1 0,98.22
1 1 1 0 1 0,98.22
1 1 1 0 1 0,98.22
1 0 0 0 0 0,99.63
0 0 1 1 0 0,99.98
1 1 1 1 0 0,131.9
1 0 1 0 1 1,173
0 0 0 0 1 0,245.39
1 1 1 1 0 1,245.39
0 1 0 0 0 0,254.12
0 1 0 0 0 0,254.12
