GENERATION,P1,P2,C1,C2,MUTANT
0,50.36,74.94,441.69,466.27,76.18
1,50.36,74.94,441.69,466.27,195.18
2,50.36,74.94,441.69,466.27,692.31
3,50.36,74.94,441.69,466.27,274.93
4,50.36,74.94,441.69,466.27,468.12
5,50.36,74.94,441.69,466.27,210.23
6,50.36,74.94,441.69,466.27,0.22
7,0.22,50.36,197.97,248.11,548.06
8,0.22,50.36,197.97,248.11,443.39
9,0.22,50.36,197.97,248.11,103.05
10,0.22,50.36,197.97,248.11,84.46
11,0.22,50.36,197.97,248.11,185.56
12,0.22,50.36,197.97,248.11,655.67
13,0.22,50.36,197.97,248.11,684.39
14,0.22,50.36,197.97,248.11,399.1
15,0.22,50.36,197.97,248.11,95.46
16,0.22,50.36,197.97,248.11,891.69
17,0.22,50.36,197.97,248.11,43.67
18,0.22,43.67,0.06,43.39,1.37
19,0.06,0.22,0.22,0.06,334.35
20,0.06,0.06,0.06,0.06,425.78
21,0.06,0.06,0.06,0.06,177.78
22,0.06,0.06,0.06,0.06,448.86
23,0.06,0.06,0.06,0.06,47.27
24,0.06,0.06,0.06,0.06,771.39
25,0.06,0.06,0.06,0.06,842.96
26,0.06,0.06,0.06,0.06,70.04
27,0.06,0.06,0.06,0.06,274.46
28,0.06,0.06,0.06,0.06,115.5
29,0.06,0.06,0.06,0.06,917.36
